listing_id,onehot_encoding__room_type_Entire home/apt,onehot_encoding__room_type_Hotel room,onehot_encoding__room_type_Private room,onehot_encoding__room_type_Shared room,ordinal_encoding__neighbourhood_more_than_30,ordinal_encoding__type_of_accommodation,target_encoding__coordinates,numeric__minimum_nights,numeric__number_of_reviews,numeric__days_since_last_review,numeric__reviews_per_month,numeric__calculated_host_listings_count,numeric__availability_365,numeric__score,numeric__number_of_reviews_ltm,numeric__number_of_reviews_ltm_ratio,numeric__number_of_bedrooms,numeric__number_of_beds,numeric__number_of_baths,numeric__imperial_palace_distance,numeric__nearest_convenience_store,numeric__nearest_train_station,numeric__nearest_airport,numeric__nearest_bus_station,numeric__nearest_subway,binary__is_new,binary__is_studio,binary__has_shared_bath,binary__has_half_bath,target
786067336520786591,1.0,0.0,0.0,0.0,23.0,20.0,24515.4117575287,3.0,11.0,23.0,2.02,34.0,131.0,4.55,11.0,1.0,1.0,4.0,1.0,6873.923538866781,177.47978685621177,393.6979895697219,4613.296255537333,376.98832806272634,383.3881563563157,0.0,0.0,0.0,0.0,37152.87671232877
786074863258620407,1.0,0.0,0.0,0.0,16.0,20.0,26777.295433789954,2.0,13.0,18.0,2.58,1.0,234.0,4.38,13.0,1.0,1.0,2.0,1.0,9273.945419674406,140.02824836949125,339.2472442858276,2330.7410100381253,86.89588016609234,1451.0786484117423,0.0,0.0,0.0,0.0,32441.095890410958
786122835645488738,1.0,0.0,0.0,0.0,21.0,20.0,24773.058482613276,1.0,19.0,17.0,3.63,14.0,108.0,4.95,19.0,1.0,1.0,4.0,5.0,6982.225716200367,91.12834121616434,525.8521249127044,5929.391864317868,169.16315181861722,121.77965915115605,0.0,0.0,0.0,0.0,21509.369863013697
786285637427532259,1.0,0.0,0.0,0.0,17.0,20.0,29821.64790561406,2.0,12.0,22.0,2.86,4.0,257.0,4.67,12.0,1.0,1.0,2.0,1.0,7212.215507942091,60.891450597947234,147.81645383450464,3071.2198295474223,156.0352959657124,388.432108939466,0.0,0.0,0.0,0.0,26873.424657534248
786577170466981218,1.0,0.0,0.0,0.0,9.0,14.0,21604.578432807637,1.0,5.0,53.0,1.2,1.0,329.0,4.0,5.0,1.0,2.0,4.0,1.0,8611.792825635213,480.41790910043693,622.8536224509563,8996.563694258162,761.7808555849457,988.5722231828505,0.0,0.0,0.0,0.0,18145.205479452055
786896091113941877,1.0,0.0,0.0,0.0,23.0,20.0,23521.159724479527,1.0,17.0,39.0,2.95,29.0,317.0,4.88,17.0,1.0,1.0,1.0,1.0,8429.986835368058,74.83783573578643,510.6625267236059,4583.182145677743,250.07363752830727,197.2583809308742,0.0,0.0,0.0,0.0,29059.14794520548
787093319680116135,1.0,0.0,0.0,0.0,12.0,20.0,32131.669056108087,2.0,18.0,16.0,3.0,2.0,192.0,4.89,18.0,1.0,1.0,3.0,1.0,2823.6286663599362,150.37286391325497,212.47570099913048,2341.858478380061,183.11391355484602,166.59234752505822,0.0,0.0,0.0,0.0,29285.753424657534
787443122429792372,1.0,0.0,0.0,0.0,19.0,20.0,23629.245919839355,1.0,12.0,14.0,2.31,34.0,339.0,4.92,12.0,1.0,2.0,2.0,2.0,5521.356300552445,20.136903452152087,608.1725998262417,1663.774606733952,245.23901060097594,276.58232873271993,0.0,0.0,0.0,0.0,25616.438356164384
787517093693171012,1.0,0.0,0.0,0.0,17.0,20.0,52743.331999384325,2.0,27.0,9.0,5.63,8.0,84.0,5.0,27.0,1.0,2.0,4.0,1.0,6881.554681108969,80.2549870814663,34.09684032857938,2757.5198786344877,236.76916544313133,227.16400632764217,0.0,0.0,0.0,0.0,35331.50684931507
787545585231107392,1.0,0.0,0.0,0.0,22.0,20.0,31536.451337038823,3.0,17.0,32.0,3.0,3.0,283.0,4.82,17.0,1.0,2.0,3.0,5.0,5114.2674341075035,157.67004712297103,25.633195150443886,4061.4972391847023,241.487189644051,343.02599017488524,0.0,0.0,0.0,0.0,47408.24109589041
787545716452091989,1.0,0.0,0.0,0.0,23.0,20.0,24515.4117575287,1.0,10.0,35.0,1.99,15.0,151.0,4.6,10.0,1.0,3.0,4.0,5.0,5822.091222350609,255.39250673523756,581.6655033082492,6303.423956440907,688.033543988257,742.6759383138591,0.0,0.0,0.0,0.0,25694.260273972603
787551653863205913,1.0,0.0,0.0,0.0,17.0,20.0,52743.331999384325,2.0,30.0,3.0,4.97,8.0,108.0,4.93,30.0,1.0,1.0,4.0,1.0,6916.1701195618125,82.22561970705405,25.74833478283865,2792.136327678052,223.17914207078834,189.01660102596432,0.0,0.0,0.0,0.0,33181.3698630137
787948152112774818,1.0,0.0,0.0,0.0,12.0,20.0,27178.66072713838,1.0,15.0,6.0,3.15,1.0,108.0,4.2,15.0,1.0,2.0,3.0,1.0,4237.127676302473,216.28842417702953,843.8472107210008,3755.2612723567913,898.6539262974751,1204.441968726483,0.0,0.0,0.0,0.0,33476.46575342466
